demonstration_id,medicaid_id,state_id,status_id
7c66762a-21ce-4e96-a766-1b705463e62c,11-W-00005/4,KY,Approved
1ac4f92b-8b39-4081-ab13-f12d29995ba7,11-W-00128/1,ME,Approved
7e6ad85c-4984-4a98-87e8-574a2eebdc47,11-W-00158/1,ME,Approved
72ba07e4-1073-4c30-976b-4c6d836a7afa,11-W-00163/6,AR,Approved
fe0d0cd6-268b-42a8-a671-88f6cf199192,11-W-00165/5,IL,Approved
1b4db82b-54a7-4da0-b5ae-9d677c54a565,11-W-00182/4,NC,Approved
f1ddca41-3217-44af-bcff-bc2e2fd2b710,11-W-00183/5,MN,Approved
fe371a3a-ba6b-4f7c-83e7-60f36602e89d,11-W-00189/7,IA,Approved
2dc270c0-27f0-4992-8602-1fbbdcafa7b0,11-W-00191/6,VT,Approved
fbdc0ed1-78a9-40fb-a4ba-4d055f887373,11-W-00205/4,FL,Approved
4ac33e36-e034-4905-bc81-18c4fb117723,11-W-00232/6,LA,Approved
b4397db8-6c82-4093-8872-91cbf5698efe,11-W-00234/2,NY,Approved
b8de55ab-ee94-46c0-af13-e3762df85d10,11-W-00235/3,PA,Approved
be09c9ac-d9b9-4370-a268-d973ec0d16f5,11-W-00250/7,MO,Approved
b973a0b2-97a5-4846-8396-ba03f50995ef,11-W-00251/3,DC,Approved
349f4f06-0e6c-491c-9e39-16073e2ee0f3,11-W-00252/6,LA,Approved
388ac56a-d77a-47d8-a1a9-223726638ee9,11-W-00254/10,WA,Approved
e3b59b4d-8488-4e32-ae71-b6b3c244ef41,11-W-00274/2,NJ,Approved
f8750186-e249-4421-8246-abb93a6a80e2,11-W-00280/8,CO,Approved
656ea06b-143e-4e04-981b-cc409f142662,11-W-00281/5,IL,Approved
b2b50a67-a9c7-4796-8bbb-2885202e8cf5,11-W-00282/5,OH,Approved
0fcfc81f-e55a-4374-ba2b-ec37081df6d3,11-W-00284/9,NV,Approved
19cde612-c7fa-42bf-861e-c527ab0b5b6e,11-W-00287/6,AR,Approved
65abf3d1-0cd4-4d40-bcce-156a76c0a035,11-W-00295/3,PA,Approved
47d57b40-32df-4108-b2f4-9371b7251603,11-W-00299/4,AL,Approved
71bd7472-26c4-4cd1-a1fd-d23bc11cf9e0,11-W-00503/4,NC,Approved
